query,entity_group,ground_truth_chunk_ids,baseline_recall,candidate_recall,delta,outcome,baseline_top_5,candidate_top_5
a good that can be used in place of another good,single-entity,"['421981_1', '421981_0', '421981_11']",1.0,1.0,0.0,unchanged,"['421981_0', '421981_1', '421981_17', '421981_11', '421981_5']","['421981_0_c0', '421981_1_c0', '421981_17_c0', '421981_5_c0', '421981_11_c0']"
an influential religion to enter china along the silk route during the han dynasty was,multi-entity,"['1471955_44', '226808_5', '1471955_48', '226808_21', '226808_6', '226808_0', '9704619_1']",0.2857142857142857,0.2857142857142857,0.0,unchanged,"['1471955_9', '1471955_11', '1471955_1', '226808_6', '1471955_66']","['1471955_9_c0', '1471955_11_c0', '1471955_1_c0', '226808_6_c0', '1471955_66_c0']"
how many plane surfaces does a cylinder have,single-entity,"['859283_7', '859283_0', '859283_16']",0.0,0.0,0.0,unchanged,"['47106911_11', '47106911_14', '1471798_22', '47106911_12', '47106911_41']","['47106911_11_c0', '47106911_14_c0', '1471798_22_c0', '47106911_12_c0', '47106911_41_c0']"
is greenland part of europe or north america,multi-entity,"['26740_1', '12118_1']",0.5,0.5,0.0,unchanged,"['26740_6', '26740_18', '26740_2', '26740_12', '26740_41']","['26740_6_c0', '26740_18_c0', '26740_2_c0', '26740_12_c0', '26740_41_c0']"
mainland greece is a body of land with water on three sides called,multi-entity,"['22734452_2', '22734452_3', '22734452_20']",0.0,0.0,0.0,unchanged,"['23070_56', '47106911_74', '23070_2', '23070_62', '26740_42']","['23070_56_c0', '47106911_74_c0', '23070_2_c0', '23070_62_c0', '26740_42_c0']"
star cast of ab tumhare hawale watan sathiyon,multi-entity,['8166078_1'],1.0,1.0,0.0,unchanged,"['8166078_1', '8166078_0', '8166078_10', '8166078_11', '8166078_23']","['8166078_1_c0', '8166078_0_c0', '8166078_10_c0', '8166078_11_c0', '8166078_23_c0']"
state the process that divides one nucleus into two genetically identical nuclei,multi-entity,"['20369_0', '20369_1', '20369_2']",0.3333333333333333,0.3333333333333333,0.0,unchanged,"['20369_12', '20369_1', '20369_11', '20369_30', '20369_44']","['20369_12_c0', '20369_1_c0', '20369_11_c0', '20369_30_c0', '20369_44_c0']"
the art and science of making objects from clay is called,single-entity,"['29560452_15', '53597975_1', '47106911_1', '47106911_0']",0.25,0.25,0.0,unchanged,"['47106911_6', '47106911_1', '47106911_2', '47106911_7', '47106911_39']","['47106911_6_c0', '47106911_1_c0', '47106911_2_c0', '47106911_7_c0', '47106911_39_c0']"
what part of brain is responsible for complex thinking,single-entity,"['21312312_4', '469220_0', '469220_1', '27023036_1']",0.25,0.25,0.0,unchanged,"['27023036_2', '27023036_1', '27023036_0', '27023036_14', '27023036_6']","['27023036_2_c0', '27023036_1_c0', '27023036_0_c0', '27023036_14_c0', '27023036_6_c0']"
when did gimme gimme gimme start,single-entity,"['1019647_32', '1019647_1']",0.0,0.0,0.0,unchanged,"['55476511_0', '47106911_83', '8134096_29', '47106911_36', '20013780_36']","['55476511_0_c0', '47106911_83_c0', '8134096_29_c0', '47106911_36_c0', '20013780_36_c0']"
when did the ouija board first come out,multi-entity,['250910_2'],0.0,0.0,0.0,unchanged,"['226808_45', '47300_16', '47300_9', '226808_127', '226808_216']","['226808_45_c0', '47300_16_c0', '47300_9_c0', '226808_127_c0', '226808_216_c0']"
when did the prr first begin its passenger service between pittsburgh and philadelphia,multi-entity,"['91934_1', '320965_0', '320965_11']",0.0,0.0,0.0,unchanged,"['59840480_10', '1245539_25', '1245539_16', '3177042_7', '59840480_1']","['59840480_10_c0', '1245539_25_c0', '1245539_16_c0', '3177042_7_c0', '59840480_1_c0']"
when did the song holiday road come out,single-entity,['22831408_1'],0.0,0.0,0.0,unchanged,"['361971_14', '8134096_15', '361971_18', '33545013_10', '22141582_18']","['361971_14_c0', '8134096_15_c0', '361971_18_c0', '33545013_10_c0', '22141582_18_c0']"
when did toyota first come to the united states,multi-entity,"['30984_55', '30984_0', '1303184_11']",0.0,0.0,0.0,unchanged,"['14017109_4', '1245539_9', '26740_11', '30659757_6', '8872619_28']","['14017109_4_c0', '26740_11_c0', '1245539_9_c0', '30659757_6_c0', '8872619_28_c0']"
when is the new series of keeping faith starting,single-entity,"['56023373_3', '56023373_0']",0.0,0.0,0.0,unchanged,"['1102458_137', '1494_115', '1102458_126', '3177042_10', '48447315_4']","['1102458_137_c0', '1494_115_c0', '1102458_126_c0', '3177042_10_c0', '48447315_4_c0']"
when was clash royale released in the us,single-entity,"['49103664_24', '49103664_1']",0.0,0.0,0.0,unchanged,"['1102458_132', '1102458_129', '3550050_39', '8134096_30', '53849670_0']","['1102458_132_c0', '1102458_129_c0', '3550050_39_c0', '8134096_30_c0', '53849670_0_c0']"
when was the 50th star added to the united states flag,multi-entity,['8872619_45'],1.0,1.0,0.0,unchanged,"['8872619_60', '8872619_37', '8872619_45', '8872619_44', '8872619_28']","['8872619_60_c0', '8872619_37_c0', '8872619_45_c0', '8872619_44_c0', '8872619_28_c0']"
when was the day that the pubs ran dry in the poem 9-3,multi-entity,['2697758_14'],0.0,0.0,0.0,unchanged,"['9704619_46', '3872350_22', '1494_106', '1494_93', '1494_91']","['9704619_46_c0', '3872350_22_c0', '1494_106_c0', '1494_93_c0', '1494_91_c0']"
when was the first commercial cell phone released,single-entity,"['1245539_36', '1245539_44', '19644137_2', '2705671_1', '1245539_38', '1245539_51', '1245539_0']",0.42857142857142855,0.42857142857142855,0.0,unchanged,"['1245539_44', '1245539_60', '1245539_8', '1245539_14', '1245539_61']","['1245539_44_c0', '1245539_60_c0', '1245539_8_c0', '1245539_14_c0', '1245539_61_c0']"
where are the spanish steps located in italy,multi-entity,"['2397816_4', '361971_1', '3116739_1']",0.6666666666666666,0.6666666666666666,0.0,unchanged,"['361971_1', '361971_0', '361971_28', '361971_39', '3116739_1']","['361971_1_c0', '361971_0_c0', '361971_28_c0', '361971_39_c0', '3116739_1_c0']"
where are the washington redskins based out of,single-entity,"['33673_1', '48447315_3']",0.5,0.5,0.0,unchanged,"['48447315_0', '48447315_1', '48447315_2', '48447315_30', '48447315_23']","['48447315_0_c0', '48447315_1_c0', '48447315_2_c0', '48447315_30_c0', '48447315_23_c0']"
where did the crown of thorns starfish come from,single-entity,"['607457_2', '607457_73', '607457_0']",0.0,0.0,0.0,unchanged,"['8872619_10', '47106911_69', '48466472_16', '1494_148', '56857513_1']","['8872619_10_c0', '47106911_69_c0', '48466472_16_c0', '1494_148_c0', '56857513_1_c0']"
where does the coral sea meet the pacific ocean,single-entity,"['309666_1', '23070_24', '309666_0']",0.3333333333333333,0.3333333333333333,0.0,unchanged,"['23070_24', '23070_0', '23070_61', '23070_1', '23070_21']","['23070_24_c0', '23070_0_c0', '23070_61_c0', '23070_1_c0', '23070_21_c0']"
