query,entity_group,ground_truth_chunk_ids,baseline_recall,candidate_recall,delta,outcome,baseline_top_5,candidate_top_5
when was the first commercial cell phone released,single-entity,"['1245539_36', '1245539_44', '19644137_2', '2705671_1', '1245539_38', '1245539_51', '1245539_0']",0.2857142857142857,0.42857142857142855,0.14285714285714285,improved,"['1245539_42', '1245539_32', '1245539_52', '1245539_61', '1245539_50']","['1245539_42_c0', '1245539_32_c0', '1245539_52_c0', '1245539_61_c0', '1245539_53_c0']"
a good that can be used in place of another good,single-entity,"['421981_1', '421981_0', '421981_11']",1.0,1.0,0.0,unchanged,"['421981_1', '421981_11', '421981_6', '421981_5', '421981_0']","['421981_1_c0', '421981_11_c0', '421981_6_c0', '421981_5_c0', '421981_0_c0']"
an influential religion to enter china along the silk route during the han dynasty was,multi-entity,"['1471955_44', '226808_5', '1471955_48', '226808_21', '226808_6', '226808_0', '9704619_1']",0.2857142857142857,0.2857142857142857,0.0,unchanged,"['1471955_9', '1471955_1', '226808_6', '1471955_66', '1471955_44']","['1471955_9_c0', '1471955_1_c0', '226808_6_c0', '1471955_66_c0', '1471955_44_c0']"
how many plane surfaces does a cylinder have,single-entity,"['859283_7', '859283_0', '859283_16']",0.0,0.0,0.0,unchanged,"['47300_9', '23070_68', '286327_8', '27023036_7', '286327_14']","['47300_9_c0', '23070_68_c0', '286327_8_c0', '286327_14_c0', '27023036_7_c0']"
is greenland part of europe or north america,multi-entity,"['26740_1', '12118_1']",0.5,0.5,0.0,unchanged,"['26740_2', '26740_1', '26740_13', '23070_58', '286327_41']","['26740_2_c0', '26740_1_c0', '26740_13_c0', '26740_11_c1', '23070_58_c0']"
mainland greece is a body of land with water on three sides called,multi-entity,"['22734452_2', '22734452_3', '22734452_20']",0.0,0.0,0.0,unchanged,"['47106911_76', '23070_2', '23070_14', '23070_57', '26740_42']","['47106911_76_c0', '23070_2_c0', '23070_14_c0', '23070_57_c0', '26740_42_c0']"
star cast of ab tumhare hawale watan sathiyon,multi-entity,['8166078_1'],1.0,1.0,0.0,unchanged,"['8166078_1', '8166078_0', '1102458_56', '12989608_6', '8166078_13']","['8166078_1_c0', '8166078_0_c0', '1102458_56_c0', '12989608_6_c0', '8166078_13_c0']"
state the process that divides one nucleus into two genetically identical nuclei,multi-entity,"['20369_0', '20369_1', '20369_2']",0.6666666666666666,0.6666666666666666,0.0,unchanged,"['20369_1', '20369_2', '20369_32', '20369_20', '20369_55']","['20369_1_c0', '20369_2_c0', '20369_32_c0', '20369_20_c0', '20369_55_c0']"
the art and science of making objects from clay is called,single-entity,"['29560452_15', '53597975_1', '47106911_1', '47106911_0']",0.25,0.25,0.0,unchanged,"['47106911_1', '47106911_2', '47106911_41', '47106911_4', '47106911_43']","['47106911_1_c0', '47106911_2_c0', '47106911_41_c0', '47106911_4_c0', '47106911_43_c0']"
what part of brain is responsible for complex thinking,single-entity,"['21312312_4', '469220_0', '469220_1', '27023036_1']",0.25,0.25,0.0,unchanged,"['27023036_2', '27023036_1', '27023036_3', '27023036_11', '209459_22']","['27023036_2_c0', '27023036_1_c0', '27023036_3_c0', '27023036_11_c0', '161897_3_c0']"
when did gimme gimme gimme start,single-entity,"['1019647_32', '1019647_1']",0.0,0.0,0.0,unchanged,"['33545013_18', '14017109_3', '47106911_83', '286327_6', '161897_62']","['33545013_18_c0', '14017109_3_c0', '47106911_83_c0', '161897_62_c0', '33545013_19_c0']"
when did the ouija board first come out,multi-entity,['250910_2'],0.0,0.0,0.0,unchanged,"['12989608_6', '47300_36', '33545013_18', '286327_6', '33545013_19']","['12989608_6_c0', '33545013_18_c0', '47300_36_c0', '286327_6_c0', '1245539_59_c0']"
